,user_number,title,content number,genre,loc,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time ( candle ),t-gap
155,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,66.0,1
156,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,19,1,1,1,60.5,1
157,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,19,1,1,1,60.5,1
158,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,1,1,21,1,5,5,0.0,3131
159,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,78.0,3131
160,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,34.0,3131
161,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,61.0,3131
162,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,61.0,3131
163,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,61.0,3131
164,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,60.0,3131
165,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,21,1,5,5,60.0,3131
166,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
167,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
168,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
169,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
170,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,59.0,3131
171,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,62.0,3131
172,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,61.0,3131
173,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,56.0,3131
174,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,62.0,3131
